date,trend,HL1,HL2,HL3,HL4,HL5,HL6,HL7,HL8,HL9,HL10,HL11,HL12,HL13,HL14,HL15,HL16,HL17,HL18,HL19,HL20
12/15/2016,1,Dangerous New Strain of Marijuana Turning Users Into 'Zombies' on Nation's Streets,Sheriff Joe Arpaio: Obama's Birth Certificate a Forgery,Traces of Explosives Found in Egyptair Crash,WikiLeaks' Assange: Hacked Emails Sent to Others May Be From Russia,Dianne Feinstein: Russia Wanted to 'Dirty Up' Hillary With Hacks,'Boy Dying in Santa's Arms' Story Starts to Unravel,"9,600 First Responders Mistakenly Exposed to Ricin at Terror Training Center",Christie Looking at New Career in Sportscasting,"DHS: Record 15,000 Illegal Families Arrested at US Border Last Month",Amazon Moving to Create Uber-Like Service for Trucking Industry,"Craig Sager, Longtime Turner NBA Reporter, Dies at 65","'Most Powerful People' List: Putin, Trump Top Annual Forbes Lineup",Jury Finds Dylann Roof Guilty in Church Massacre,Pew Study: 23 Percent of Americans Have Spread Fake News,WSJ: Kudlow in Running for Trump's Top Economic Adviser,Pete King: Russian Hacking Claims 'Creating Uncertainty' Without Proof,Kirby: U.S. Military Action Wouldn't Have Made Difference in Aleppo,Facebook Fights Fake News Stories With Updated Features,Israeli Amb. Dermer: Iran Could Have Nuclear Weapons in Less Than 10 Years,"White House: FBI Is Probing Yahoo Hack, Cannot Yet Provide Scope"
12/14/2016,0,Arpaio Won't Face Contempt Case for Withholding Hard Drives,"Bernard Fox, Dr. Bombay on 'Bewitched,' Dies at 89",Ed Klein: Comey Tells Trump Russians Didn't Influence the Election,NY Muslim Woman Lied About Trump-Themed Hate Crime,"German Defense Minister Shuns Hijab, Causes Social Media Stir",Yahoo Says Second Hack Affected More Than 1 Billion in 2013,Gizzi: Soros-Backed Group Leads Charge Against Tillerson From the Left,CNN: Romney's Refusal to Apologize Cost Him Secretary of State Job,"Syrian Rebel Officials Say Aleppo Truce Deal Back on Track, to Start 'Within Hours'",Rush Limbaugh Syndication Agreement Renewed Through 2019,Alan Thicke's Heart Attack: Could a Simple Screening Have Saved Him?,Report: Army Sgt. Pleads Guilty of Funneling Rifles to Drug Cartel,Fed Raises Key Interest Rate and Foresees 3 Hikes in 2017,Dobson Attacks Kasich for 'Shameful' Veto of Abortion Bill,"Buzz Aldrin on South Pole Evacuation, Hospitalization: 'It Was Worth It'",Harvard Prof: 20 GOP Electors Could Turn On Trump,Rand Paul: Keep 'Dangerous' John Bolton Away From State,Uber Self-driving Cars Hit the Streets of San Francisco,"Aspirin Slows Spread of Colon, Pancreatic Cancer","Alan Thicke Gave Thumbs Up, Had Son Take Pic, and Was Gone"
12/13/2016,0,Battle of Aleppo Ends after Years of Bloodshed with Rebel Withdrawal,New Accusations against Former Fox News Head Ailes in Lawsuit,"Alan Thicke, 'Growing Pains' Dad, Dies of Heart Attack at 69",Wake Forest Radio Voice Fired for Leaking Info to Opponents,"Archaeologists Find 2,500-Year-Old City in Greece","Kasich Vetoes 'Heartbeat' Bill, Signs 20-Week Abortion Ban","IBM Lays Out Plans to Hire 25,000 in U.S. Ahead of Trump Meeting",Poll: 53% of Palestinians Want Trump Out of Israel Talks,Obama Signs Bill Boosting Spending on Cancer Research,DOJ Files Suits in 3 States Against Communities for Blocking Construction of Mosques,Poll: Obama's Job Approval Near All-Time High as He Leaves Office,"Buffett's Berkshire Hathaway Tops $250,000 a Share","Leaked Document: Russia, Ecuador Knew Snowden Planned NSA Thefts",MLB Rookie Hazing Rules Ban Dressing as Women,Reagan: Democrats Secretly Worked With Russia to Oppose My Dad,Charity Auction Website Offers Coffee With Ivanka Trump,Bill Gates: $1B Fund Aims to Make Clean Energy Cheaper Than Dirty Energy,Five Rescued as US Marine Osprey Goes Down Off Japan Coast,Newsweek: Turkey Uses Trump's Business Ties for Political Leverage,Hands-Free Cellphones Just as Distracting While Driving
12/12/2016,1,Bill Kristol Steps Down at Weekly Standard as Editor-in-Chief,"McConnell, Warning of ‘Dangerous’ Debt, Wants Tax Cut Offsets",Opus Dei Leader Dies at 84,CIA Russia Intel: Hackers Deliberately Targeted Democratic Party,Rep. Devin Nunes: No More Investigating Russian Hacking,British Households Will Pay More Than $13K Each for Climate Law by 2030,Facebook Co-Founder Launching $10M Study of Universal Wage,Senate's CIA Torture Report Will Go into Obama Archive,Pro-Gun Control Film 'Miss Sloane' Shoots Blanks at Box Office,Study: Opioid-Related Problems in Babies Spike in Rural Areas,Benghazi Congressional Investigation Officially Over With Final Report,Federal Budget Deficit Jumps to $136.7 Billion in November,"Sumner Redstone, Daughter Call Off CBS, Viacom Merger Proposal",ACLU Sues Indiana Town Over Cross Atop Christmas Tree; Town Caves,Hayden: Trump's Relations With CIA 'Gone Beyond Difficult',Taxpayer Group: Repealing Obamacare Would Cut Taxes on Middle Class,Justice Breyer: 'Time to Reconsider the Constitutionality of Death Penalty',Facebook Hiring 20-Year Media Veteran to Be 'Public-Facing Voice' of News,Supreme Court Leaves $1B NFL Concussion Settlement in Place,Bill Gates Backs $1 Billion Energy Fund Alongside Wealthy Investors
12/9/2016,0,Will Trump Support Scottish Independence?,TheBlaze Suspends Ex-Marine Researcher After He Shot at ISIS Militants,"Kudlow: AT&T, Time Warner Deal Raises Danger of 'Concentration of Power'",Wash Post: CIA Assessment Concludes Putin Was Trying to Help Trump Win White House,Tom DeLay Slams 'Disturbing' AT&T-Time Warner Deal,"Sad Biden Hails Trudeau, Merkel as Last Liberal Leaders Standing","Stock Market Indicator Mirrors Numbers From Before, During Crashes",Ford CEO Says Trump Threats Won't Change Small Car Plans,Fox Reaches $14.2 Billion Preliminary Deal to Buy All of Sky,Trump: Ban Fed Employees Who Grant Defense Contracts From Working For Companies Selected,Self-Driving Cars: Michigan Becomes First State to Pass Legislation,Record-Setting Trump Rally Pushes Upward With 3 Percent Weekly Gain,Arkansas: Same-Sex Parents of Adopted Kids Won't Be on Birth Certificate,Roger Ailes-Megyn Kelly Movie in the Works From 'Big Short' Writer,'Honoring the Desire of Archbishop Sheen',Report: Bannon's Company Paid by Trump Super PAC Until Election Day,Former CIA Contractor to Mattis: Waterboarding Works,Hero-Astronaut John Glenn to Lie in State in Ohio,Morning Joe's Mika: Clinton Campaign Wanted Me 'Off the Air',Remembering John Glenn: 9 Photos of a National Hero
12/8/2016,1,Conservatives Outraged Over Obama Blaming Opposition on Racism,Study: 'Obamacare' Repeal-Only Would Make 30M Uninsured,Remarkable Feathered Dinosaur Tail Found in Chunk of Amber,Hillary Clinton: 'Lives Are at Risk' With Fake News,Donald Trump to Remain Executive Producer on 'Celebrity Apprentice',No Mistrial for Dylann Roof After Church Shooting Survivor Calls Him 'Evil',"Ties between Russia and the Taliban Worry Afghan, U.S. Officials",2nd Georgia Officer Dies Day after Being Shot,Georgia Accuses US of Trying to Hack Its Election Systems,Trump After Meeting With OSU Terrorism Victims: 'A Great Honor',Vets' Group Rips VA Over Leaked Docs Listing Below-Average Facilities,CBP Opens Second Holding Facility to Handle Surge of Young Aliens at Border,OSU Professor Hurt in Stabbing Attack Won't Meet With Trump,"Former U.S. Astronaut, Senator John Glenn Dead at 95","Former U.S. Astronaut, Senator John Glenn Dead at 95 -Columbus Dispatch","'Secret Sister Gift Exchange' on Facebook Is a Scam, BBB Warns",Attorney: Dylann Roof's Mom Had Heart Attack During Trial,PETA Names Mary Matalin Person of the Year,Russia Testing Drone Submarine With Nuclear Capability,Immunotherapy Case 'Huge' Breakthrough for Deadly Cancers
12/7/2016,1,"Consumers Big Losers in AT&T, Time Warner Merger, Warn US Senators",Gasparino Tells Fox Business: Newsmax to Oppose AT&T Merger,Report: Tiffany Trump Takes Tour at Harvard Law,Costs for Specialty Drugs to Rise Significantly Under Obamacare,Trump Rips Carrier Union President for Attacking Deal,Conservative Group Blasts 'Highlights' Kids Mag Over Plan to Feature Same-Sex Couples,Newt Gingrich on Twitter: Japanese Displayed 'Professional Brilliance' at Pearl Harbor,McConnell to Biden: 'You've Been a Real Friend . . . Godspeed',Economist Peter Morici Slams 'Absurd' AT&T-Time Warner Deal,"Former Astronaut, US Sen. John Glenn Is Hospitalized in Ohio",Study: 77% of Trump Press Coverage Negative,IRS: Refunds Delayed a Bit for Some in 2017 to Allow Fraud Review Time,Arson: Deadly Tennessee Fires Lead to Charges for Two Juveniles,Wall Street Surges to New Highs as Trump Rally Keeps Rolling,Lindsey Graham to Lead Russia Probes: Putin Should 'Pay a Price',Bureau of Labor Statistics: Hiring Falls for Third Straight Month,US Regulator Set to Fail Wells Fargo on Community Lending Test,Duterte: US Wants to Repair 'Bad Relations' With the Philippines,"Two Police Officers Shot, 1 Killed in South Georgia",Trump Honors Pearl Harbor 'Heroes Who Selflessly Gave Their Lives'
12/6/2016,1,"Denzel Washington: Media Should 'Tell the Truth,' Stop 'BS'",Kid Rock Selling Trump-Themed Apparel,NASA Spots 'Substantial Coronal Hole' on Sun,Megyn Kelly: Group of Women Helped Oust Roger Ailes at Fox News,"S Korea Hacked, Claims N Korea Stole Classified Military Info",DEA: Heroin Seizures at Mexican Border More Than Double Since 2010,"Fox News Triples CNN, MSNBC After Election",Study: C-Section Births Changing Human Evolution,Scientists Develop Robotic Hand for People with Quadriplegia,GOP Reps Call on Obama to Reject Bergdahl Pardon,Obama Insists His Strategy Is 'Breaking the Back' of Extremists,NYT: Wells Fargo Pushing Fake Accounts to Arbitration,Newsmax's Top 25 Christmas Destinations in America,"Extreme Downpours Predicted to Triple in Warming Climate, Study Says",Politico: Realtor Uses Secret Service to Sell Trump Tower Condo,Ex-Defense Sec. Panetta Calls on Waiver for Gen. Mattis,Time Warner CEO: Democrats Were Bigger First Amendment Threat Than Trump,Rasmussen Poll: Most GOP Voters Want Border Wall in Trump's First Year,James Murdoch Gives Dad 'A+' for Running Fox News,Supreme Court Upholds Broad Power to Curb Insider Trading
12/5/2016,1,FBI Probes Threat Against Los Angeles Rail Line Called in from a Foreign Country,Politico: Trump's Taiwan Outreach Has Many Conservatives Smiling,"LeBron James, Cavs Teammates Opt to Not Stay at Trump Hotel",US Plans to Make Fighter Jets in India,Report: Pentagon Buried Study That Found $125B in Waste,Freedom Caucus Hopes to Move Up Repeal of Obamacare,Biden: I'm Going to Run for President in 2020,Jeb Bush Joins Florida Firm With Big Corporate Clients,Rush on Castro's Funeral Jeep Breakdown: Hell Didn't Even Want Him,Judicial Watch: Obama 2015 Family Vacation Costs Taxpayers $4.8M,Texas Republican Elector Says He Won't Cast Ballot for Trump,Eric Holder Leading Org. to Help Dems Get Back Control Through Redistricting,Red State Homes Are Luring Young Blue Buyers Inland,Google Looks for 'Conservative Outreach' Manager After Trump Election Win,Ben Carson Lists West Palm Beach Mini-Mansion (EXCLUSIVE),Death Toll Climbs to 36 in Oakland Warehouse Fire,Hillary Backer Warren Buffett's Boost From Trump Tax Plan Seen as High as $29 Billion,Snowden on Obama Pardon: 'I'm Not Counting on It',John Kerry on Taiwan Call: 'Value' in Speaking With Trump Before World Leader Talks,Mistrial Declared in Murder Case of Ex-South Carolina Policeman
12/2/2016,1,Trump Slams Rexnord for Plan to Move 300 Jobs to Mexico,Chef Credited With Inventing General Tso's Chicken Has Died,Religious Hospital Pension Clash Accepted by US Supreme Court,Buzz Aldrin Gets Visit From NASA After Polar Evacuation,Obama Urges Americans to Sign Up For Obamacare Amid GOP Opposition,US Veterans Build Barracks for Pipeline Protesters in Cold,Nation's Largest Solar Installer to Open Florida Facility,Ford Moves Focus Production to Mexico: 'This Isn't a Carrier Situation',Report: Barack Obama Eyes Digital-Media Career,Merriam-Webster Word of the Year Plea: Don't Let It Be 'Fascism',Brexit Figure Nigel Farage Calls for New US-UK Trade Deal,"Trump Speaks with Taiwan's President, Risking China Tensions",Politico: Reid to Receive Bipartisan Sendoff From Senate,Rep. Henry Cuellar: Illegals Are Working the System at Border,Panel Urges Better Cybersecurity to President-Elect Trump,Congress Revives Voice of America Program to Counter Russian Propaganda,NBC News: Gen. Mattis Refused to Send Help For Fallen Green Berets in 2001,Philippine President Duterte Phones Trump,Trump Has Six-Figure Stake in Companies Behind Dakota Pipeline,Chicago Tribune: DeVos Will 'Breathe More Oxygen' Into Public Ed
12/1/2016,0,"DirecTV Now Crippled at Launch, No CBS",Ron Hosko: Charlotte Shooting Has 'Loud Echoes' of Ferguson,Rush Limbaugh Rips Obama for Mocking Trump on Carrier in June,Obama Wants Women to Register for the Military Draft,ADL: Keith Ellison Israel Comments 'Disqualifying' for DNC Post,Reported Trump Defense Sec. Mattis: Opposed to Women in Combat,Report: Megyn Kelly May Leave Fox News for CNN,Angry Mexico Blasts Trump's 'Banana Republic' Carrier Deal,Gun Control Group: 200 Police Shootings in 2016,Report: 173 Syrian Civilians Killed by US Warplanes,"Starbucks’ Schultz Will Step Down as CEO, Replaced by Johnson",Sons of Ethel Rosenberg Plead with Obama to Exonerate Mother,Philly City Attorney Involved in Anti-Trump Vandalism Still on Job,"'Hillary,' 'Ivanka' Surge as Election Year Baby Names",Lindsey Graham on Dreamers: Don't 'Throw Them to the Wolves',Trump at Carrier Plant: Companies Will Not Flee US 'Without Consequences',Buzz Aldrin Hospitalized After Medical Evacuation,France's Unpopular President Hollande Won't Seek Re-election,Rep. Pete King: 'Makes No Sense' Not to Call OSU Attack Terrorism,"1986 Nobel Winner Soyinka Shreds Green Card Over Trump, Leaves US"
11/30/2016,0,Obama Administration Bans Smoking in Public Housing,Mexican Official: Carrier Will Suffer By Not Moving Plant,Obama: Marijuana No Different Than Cigarettes or Alcohol,"Bill O'Reilly: Hillary, Obama Care More About Illegals Than US Workers",Rapper Kanye West Released from Hospital,GAO: About $108 Billion in Student Loan Debt to be Forgiven,Federal Debt Nears $20 Trillion,Carrier: Trump Gave State 'Incentives' to Stay in US,Lindsey Graham Pushing Legislation to Help Illegal Dreamers Stay in US,"Howard Dean: Baby Boomers Need to ""Get Out of the Way"" of New Democratic Party",George Mitchell: Two-State Solution Best Hope for Mideast Peace,US Border Patrol: Illegals Take Advantage of Notices to 'Disappear',"GOP Could Repeal, Before Replacing, Obamacare",Duterte's Anti-US Rants Rooted in Battle Against Manila Elite,UN: More Conflicts Looming in Middle East as Youth Remain in Turmoil,Mosul's Water Supply Cut Off Amid Fighting,Death Toll at 7 in Tennessee Wildfires,"Stocks Have Best Month Since March, Even as S&P 500 Closes Flat for Day",Larry Kudlow: 'Everyone's a Winner With Trump's Across-the-Board Tax Cuts',FBI: Islamic State Group Might Have Inspired OSU Attacker
